k,C_k,mu_A,alpha_A,mu_B,alpha_B
0,0.0625,0.04582597713280899,9.106896583978683,0.5927452567735252,96.74639560745601
1,0.1875,0.13945793338082724,8.77650128863562,0.5952998014115249,31.914761345421475
2,0.3125,0.23536238515881788,8.330634128764737,0.6004289659034177,18.73398337344374
3,0.4375,0.3327193507287617,7.7598032945824205,0.6081913636113707,12.908756982107061
4,0.5625,0.43014579184329366,7.045192853409233,0.6187329266745477,9.500284447781452
5,0.6875,0.5254641405312597,6.148868536313936,0.6324097669709032,7.131684902287443
6,0.8125,0.6151560468676116,4.976712546300754,0.6501738981499517,5.197976715947905
7,0.9375,0.6917634421214838,3.056933896470114,0.6757055946640901,2.985253579760947
